site_id,elevation_m,slope_class,soil_type,vegetation,geology,drainage,risk
S-0497,759,gentle,sand,bare,metamorphic,good,1
S-0498,766,moderate,loam,wetland,metamorphic,moderate,1
S-0499,781,moderate,loam,shrub,metamorphic,good,0
S-0500,646,steep,clay,bare,metamorphic,poor,1
S-0501,198,flat,sand,shrub,sedimentary,moderate,1
S-0502,113,moderate,clay,wetland,volcanic,good,0
S-0503,154,gentle,rocky,shrub,intrusive,good,0
S-0504,476,moderate,sand,forest,sedimentary,moderate,0
S-0505,849,steep,rocky,grassland,volcanic,moderate,1
S-0506,231,flat,rocky,shrub,volcanic,poor,0
S-0507,488,moderate,loam,shrub,metamorphic,good,0
S-0508,90,gentle,clay,wetland,metamorphic,good,0
S-0509,636,moderate,rocky,grassland,sedimentary,moderate,0
S-0510,213,steep,sand,forest,intrusive,moderate,0
S-0511,729,moderate,sand,grassland,metamorphic,moderate,1
S-0512,624,flat,organic,grassland,sedimentary,moderate,0
S-0513,678,gentle,organic,grassland,sedimentary,poor,1
S-0514,579,moderate,clay,bare,intrusive,good,0
S-0515,247,moderate,loam,forest,sedimentary,poor,0
S-0516,268,steep,rocky,shrub,sedimentary,excessive,1
S-0517,123,gentle,sand,bare,sedimentary,poor,0
S-0518,621,flat,organic,grassland,volcanic,excessive,0
S-0519,464,steep,organic,forest,metamorphic,poor,0
S-0520,824,flat,rocky,grassland,sedimentary,poor,1
S-0521,752,moderate,organic,grassland,sedimentary,excessive,1
S-0522,596,gentle,rocky,bare,volcanic,good,0
S-0523,197,moderate,rocky,forest,metamorphic,moderate,0
S-0524,600,flat,sand,shrub,metamorphic,moderate,0
S-0525,711,gentle,loam,shrub,volcanic,good,0
S-0526,105,steep,clay,grassland,sedimentary,good,1
S-0527,793,steep,loam,grassland,metamorphic,moderate,0
S-0528,375,steep,rocky,grassland,intrusive,good,0
S-0529,206,moderate,loam,bare,metamorphic,poor,0
S-0530,706,steep,loam,grassland,metamorphic,good,0
S-0531,523,steep,organic,grassland,metamorphic,poor,0
S-0532,896,gentle,clay,grassland,volcanic,poor,0
S-0533,569,flat,loam,wetland,intrusive,poor,0
S-0534,533,gentle,loam,bare,metamorphic,good,1
S-0535,563,flat,rocky,grassland,intrusive,poor,0
S-0536,678,gentle,loam,bare,volcanic,moderate,0
S-0537,629,gentle,clay,grassland,intrusive,moderate,1
S-0538,289,flat,sand,wetland,volcanic,excessive,0
S-0539,515,flat,clay,grassland,sedimentary,good,0
S-0540,228,steep,rocky,grassland,intrusive,poor,1
S-0541,435,gentle,sand,grassland,intrusive,excessive,1
S-0542,192,steep,clay,shrub,volcanic,good,1
S-0543,241,gentle,clay,wetland,metamorphic,moderate,1
S-0544,741,steep,rocky,shrub,intrusive,moderate,0
S-0545,470,flat,loam,forest,volcanic,moderate,0
S-0546,200,flat,loam,grassland,volcanic,excessive,0
S-0547,627,flat,loam,forest,metamorphic,excessive,0
S-0548,274,steep,loam,wetland,volcanic,good,1
S-0549,752,moderate,rocky,wetland,intrusive,poor,1
S-0550,257,steep,clay,wetland,volcanic,moderate,1
S-0551,679,flat,organic,forest,sedimentary,moderate,1
S-0552,843,steep,clay,grassland,intrusive,excessive,1
S-0553,871,steep,rocky,grassland,intrusive,poor,0
S-0554,135,moderate,loam,grassland,intrusive,poor,0
S-0555,858,flat,clay,wetland,sedimentary,excessive,0
S-0556,420,flat,rocky,bare,volcanic,good,1
S-0557,598,steep,sand,wetland,metamorphic,excessive,0
S-0558,544,gentle,rocky,wetland,metamorphic,excessive,0
S-0559,364,moderate,clay,shrub,intrusive,moderate,1
S-0560,269,steep,rocky,wetland,metamorphic,poor,1
S-0561,701,flat,organic,shrub,sedimentary,excessive,1
S-0562,673,flat,rocky,bare,intrusive,good,0
S-0563,661,flat,organic,bare,volcanic,poor,0
S-0564,342,gentle,rocky,wetland,sedimentary,moderate,0
S-0565,740,flat,clay,shrub,metamorphic,moderate,0
S-0566,735,steep,loam,wetland,intrusive,poor,0
S-0567,120,flat,rocky,wetland,metamorphic,good,0
S-0568,249,steep,clay,wetland,intrusive,good,1
S-0569,568,flat,sand,wetland,sedimentary,good,0
S-0570,600,moderate,rocky,bare,intrusive,excessive,0
S-0571,825,moderate,rocky,bare,intrusive,poor,1
S-0572,857,gentle,organic,grassland,volcanic,good,0
S-0573,59,moderate,clay,grassland,volcanic,excessive,1
S-0574,232,steep,loam,grassland,metamorphic,good,1
S-0575,814,gentle,loam,shrub,intrusive,moderate,1
S-0576,305,moderate,clay,forest,volcanic,poor,0
S-0577,729,steep,clay,wetland,sedimentary,excessive,0
S-0578,638,moderate,rocky,shrub,intrusive,good,0
S-0579,818,gentle,organic,wetland,sedimentary,excessive,1
S-0580,752,gentle,rocky,forest,intrusive,excessive,0
S-0581,58,flat,rocky,bare,volcanic,poor,1
S-0582,611,moderate,organic,grassland,volcanic,good,1
S-0583,560,steep,sand,bare,volcanic,good,1
S-0584,184,gentle,loam,grassland,sedimentary,excessive,0
S-0585,250,gentle,clay,bare,volcanic,moderate,0
S-0586,695,moderate,sand,grassland,intrusive,poor,1
S-0587,757,gentle,sand,shrub,sedimentary,excessive,0
S-0588,316,moderate,rocky,wetland,metamorphic,good,1
S-0589,471,flat,loam,wetland,metamorphic,moderate,0
S-0590,572,steep,organic,forest,intrusive,good,0
S-0591,198,gentle,rocky,bare,metamorphic,excessive,1
S-0592,283,moderate,sand,grassland,metamorphic,excessive,1
S-0593,505,moderate,loam,bare,intrusive,moderate,1
S-0594,307,flat,organic,shrub,volcanic,poor,1
S-0595,534,flat,rocky,bare,sedimentary,poor,1
S-0596,449,moderate,sand,shrub,volcanic,excessive,0
S-0597,184,gentle,sand,forest,sedimentary,good,0
S-0598,328,steep,loam,wetland,volcanic,excessive,0
S-0599,701,steep,organic,grassland,metamorphic,moderate,1
S-0600,316,gentle,clay,forest,metamorphic,moderate,0
S-0601,530,flat,sand,bare,intrusive,poor,0
S-0602,865,flat,organic,shrub,metamorphic,excessive,0
S-0603,217,steep,sand,shrub,intrusive,poor,0
S-0604,677,moderate,sand,wetland,metamorphic,excessive,1
S-0605,120,gentle,clay,grassland,volcanic,excessive,0
S-0606,242,moderate,clay,shrub,sedimentary,poor,1
S-0607,154,moderate,organic,shrub,metamorphic,poor,0
S-0608,400,steep,sand,bare,metamorphic,excessive,1
S-0609,82,moderate,clay,shrub,sedimentary,good,1
S-0610,246,moderate,clay,forest,intrusive,moderate,0
S-0611,503,gentle,organic,shrub,sedimentary,poor,0
S-0612,747,moderate,clay,shrub,metamorphic,poor,1
S-0613,703,moderate,clay,grassland,volcanic,moderate,1
S-0614,65,gentle,clay,wetland,metamorphic,excessive,0
S-0615,59,flat,loam,wetland,intrusive,good,0
S-0616,752,moderate,sand,forest,sedimentary,moderate,0
S-0617,860,flat,loam,bare,volcanic,good,0
S-0618,874,steep,organic,forest,volcanic,good,0
S-0619,306,flat,rocky,bare,intrusive,good,0
S-0620,606,moderate,sand,bare,metamorphic,moderate,1
S-0621,208,steep,rocky,grassland,metamorphic,good,1
S-0622,801,gentle,sand,wetland,sedimentary,moderate,1
S-0623,114,steep,organic,wetland,volcanic,moderate,0
S-0624,163,flat,loam,forest,sedimentary,moderate,0
S-0625,256,flat,clay,shrub,intrusive,poor,0
S-0626,588,moderate,loam,grassland,sedimentary,poor,1
S-0627,263,steep,clay,bare,sedimentary,good,1
S-0628,427,flat,clay,wetland,metamorphic,poor,0
S-0629,129,gentle,loam,forest,sedimentary,excessive,1
S-0630,690,gentle,rocky,forest,intrusive,good,0
S-0631,769,steep,loam,shrub,sedimentary,excessive,1
S-0632,664,steep,rocky,grassland,metamorphic,good,0
S-0633,472,steep,loam,wetland,metamorphic,moderate,0
S-0634,418,steep,clay,bare,intrusive,poor,0
S-0635,660,flat,clay,grassland,volcanic,good,1
S-0636,840,moderate,clay,forest,volcanic,excessive,0
S-0637,191,moderate,loam,wetland,metamorphic,moderate,0
S-0638,632,gentle,organic,grassland,sedimentary,moderate,1
S-0639,756,flat,rocky,forest,metamorphic,excessive,0
S-0640,406,steep,loam,forest,intrusive,poor,0
S-0641,697,steep,rocky,grassland,sedimentary,poor,1
S-0642,764,gentle,organic,forest,volcanic,excessive,0
S-0643,639,flat,sand,bare,volcanic,excessive,0
S-0644,813,flat,clay,grassland,intrusive,excessive,0
S-0645,842,gentle,rocky,bare,volcanic,moderate,1
S-0646,680,gentle,sand,forest,volcanic,excessive,0
S-0647,639,flat,organic,bare,sedimentary,good,0
S-0648,74,moderate,rocky,grassland,volcanic,excessive,0
S-0649,501,flat,sand,shrub,volcanic,moderate,1
S-0650,105,gentle,clay,grassland,volcanic,good,0
S-0651,163,moderate,clay,bare,intrusive,good,1
S-0652,585,moderate,loam,wetland,intrusive,poor,0
S-0653,729,flat,clay,shrub,metamorphic,good,1
S-0654,526,flat,sand,bare,sedimentary,good,0
S-0655,69,moderate,organic,shrub,intrusive,poor,0
S-0656,140,gentle,organic,wetland,volcanic,poor,1
S-0657,592,moderate,organic,bare,metamorphic,moderate,1
S-0658,359,gentle,sand,forest,metamorphic,excessive,0
S-0659,884,flat,loam,shrub,metamorphic,good,1
S-0660,441,gentle,rocky,shrub,intrusive,moderate,0
S-0661,369,moderate,loam,wetland,intrusive,moderate,0
S-0662,257,gentle,loam,wetland,metamorphic,excessive,0
S-0663,838,gentle,clay,grassland,volcanic,poor,1
S-0664,80,moderate,sand,bare,intrusive,excessive,0
S-0665,891,moderate,clay,shrub,volcanic,moderate,0
S-0666,323,gentle,clay,shrub,volcanic,good,1
S-0667,848,steep,rocky,wetland,volcanic,excessive,0
S-0668,553,steep,loam,shrub,volcanic,moderate,1
S-0669,832,flat,loam,bare,metamorphic,moderate,0
S-0670,499,steep,loam,bare,metamorphic,excessive,1
S-0671,92,steep,rocky,bare,metamorphic,poor,0
S-0672,93,gentle,rocky,forest,intrusive,excessive,0
S-0673,695,flat,organic,grassland,volcanic,excessive,1
S-0674,220,steep,clay,wetland,metamorphic,moderate,1
S-0675,711,steep,clay,wetland,sedimentary,moderate,1
S-0676,188,steep,organic,grassland,intrusive,poor,1
S-0677,654,gentle,sand,forest,intrusive,good,0
S-0678,785,flat,organic,forest,sedimentary,good,1
S-0679,774,steep,rocky,bare,volcanic,excessive,1
S-0680,725,gentle,loam,shrub,volcanic,poor,0
S-0681,366,steep,clay,shrub,metamorphic,moderate,0
S-0682,62,steep,rocky,bare,intrusive,poor,1
S-0683,555,gentle,organic,wetland,volcanic,excessive,0
S-0684,300,moderate,loam,forest,volcanic,moderate,1
S-0685,407,flat,rocky,forest,volcanic,good,1
S-0686,232,gentle,rocky,wetland,metamorphic,moderate,0
S-0687,817,moderate,sand,forest,sedimentary,good,1
S-0688,487,flat,loam,bare,metamorphic,poor,0
S-0689,331,moderate,loam,wetland,intrusive,moderate,0
S-0690,694,flat,sand,wetland,intrusive,excessive,0
S-0691,374,moderate,rocky,shrub,metamorphic,excessive,0
S-0692,234,gentle,clay,shrub,metamorphic,poor,1
S-0693,690,flat,organic,wetland,volcanic,excessive,0
S-0694,267,flat,sand,grassland,volcanic,poor,1
S-0695,568,moderate,sand,forest,sedimentary,good,0
S-0696,229,gentle,organic,grassland,metamorphic,excessive,0
S-0697,711,gentle,organic,shrub,intrusive,good,0
S-0698,107,moderate,rocky,wetland,metamorphic,poor,1
S-0699,751,moderate,loam,forest,metamorphic,good,1
S-0700,597,gentle,rocky,shrub,intrusive,poor,0
S-0701,819,moderate,sand,forest,metamorphic,excessive,1
S-0702,899,moderate,sand,wetland,volcanic,moderate,1
S-0703,853,flat,organic,forest,volcanic,poor,1
S-0704,398,steep,loam,grassland,metamorphic,poor,0
S-0705,578,gentle,organic,forest,volcanic,excessive,1
S-0706,95,flat,clay,bare,metamorphic,poor,0
S-0707,724,moderate,sand,wetland,sedimentary,moderate,1
S-0708,376,steep,loam,grassland,sedimentary,moderate,1
S-0709,65,flat,sand,wetland,volcanic,good,0
S-0710,637,gentle,sand,forest,volcanic,good,0
S-0711,101,gentle,clay,bare,sedimentary,poor,1
S-0712,771,steep,sand,grassland,metamorphic,moderate,0
S-0713,736,flat,loam,wetland,intrusive,poor,0
S-0714,516,moderate,loam,bare,intrusive,moderate,1
S-0715,681,moderate,loam,bare,metamorphic,good,1
S-0716,80,flat,sand,forest,intrusive,excessive,0
S-0717,224,moderate,rocky,wetland,metamorphic,moderate,0
S-0718,159,moderate,rocky,grassland,sedimentary,excessive,1
S-0719,473,gentle,loam,wetland,volcanic,excessive,0
S-0720,655,steep,sand,wetland,intrusive,moderate,1
S-0721,735,flat,rocky,forest,intrusive,excessive,0
S-0722,365,steep,clay,wetland,sedimentary,excessive,1
S-0723,710,flat,loam,shrub,sedimentary,poor,0
S-0724,348,steep,loam,shrub,intrusive,good,1
S-0725,863,moderate,clay,grassland,intrusive,poor,0
S-0726,351,flat,clay,wetland,metamorphic,poor,0
S-0727,890,moderate,clay,grassland,sedimentary,moderate,1
S-0728,778,steep,organic,bare,intrusive,moderate,1
S-0729,536,gentle,organic,wetland,volcanic,good,0
S-0730,736,gentle,clay,forest,volcanic,poor,1
S-0731,548,steep,loam,forest,volcanic,excessive,0
S-0732,485,gentle,organic,wetland,intrusive,excessive,0
S-0733,281,gentle,clay,wetland,intrusive,excessive,0
S-0734,470,moderate,rocky,forest,sedimentary,excessive,0
S-0735,165,steep,rocky,shrub,sedimentary,good,0
S-0736,140,gentle,rocky,forest,intrusive,good,0
S-0737,401,flat,rocky,bare,intrusive,excessive,0
S-0738,867,moderate,clay,shrub,metamorphic,good,0
S-0739,627,moderate,rocky,bare,sedimentary,moderate,1
S-0740,805,flat,clay,bare,metamorphic,moderate,0
S-0741,852,moderate,rocky,shrub,metamorphic,good,0
S-0742,668,gentle,sand,bare,volcanic,moderate,1
S-0743,767,gentle,rocky,shrub,intrusive,poor,1
S-0744,891,gentle,organic,bare,intrusive,moderate,0
S-0745,793,gentle,sand,wetland,volcanic,poor,1
S-0746,221,steep,sand,bare,intrusive,excessive,0
S-0747,820,gentle,organic,bare,intrusive,good,1
S-0748,866,steep,rocky,grassland,intrusive,poor,1
S-0749,594,moderate,sand,wetland,intrusive,good,1
S-0750,648,steep,rocky,shrub,intrusive,moderate,1
S-0751,743,gentle,clay,wetland,metamorphic,poor,1
S-0752,156,steep,sand,shrub,metamorphic,good,1
S-0753,74,flat,loam,wetland,sedimentary,poor,0
S-0754,183,steep,loam,forest,volcanic,good,1
S-0755,726,flat,organic,grassland,intrusive,good,0
S-0756,113,steep,clay,grassland,intrusive,good,0
S-0757,321,gentle,organic,forest,intrusive,moderate,0
S-0758,197,steep,clay,wetland,volcanic,excessive,0
S-0759,155,flat,rocky,forest,sedimentary,good,0
S-0760,718,flat,sand,bare,sedimentary,moderate,0
S-0761,450,flat,organic,bare,intrusive,excessive,0
S-0762,603,gentle,organic,bare,sedimentary,poor,0
S-0763,417,moderate,clay,bare,metamorphic,poor,1
S-0764,520,moderate,rocky,shrub,volcanic,poor,0
S-0765,726,gentle,clay,bare,metamorphic,good,0
S-0766,244,gentle,clay,shrub,sedimentary,moderate,0
S-0767,114,moderate,organic,wetland,intrusive,poor,0
S-0768,93,steep,rocky,shrub,sedimentary,excessive,0
S-0769,599,gentle,clay,forest,volcanic,moderate,0
S-0770,683,flat,clay,shrub,volcanic,moderate,0
S-0771,364,flat,loam,wetland,intrusive,poor,0
S-0772,868,gentle,organic,shrub,sedimentary,good,0
S-0773,805,steep,rocky,forest,metamorphic,moderate,1
S-0774,96,gentle,clay,forest,metamorphic,good,1
S-0775,475,gentle,loam,wetland,metamorphic,excessive,1
S-0776,860,steep,organic,forest,volcanic,poor,1
S-0777,233,flat,organic,bare,metamorphic,moderate,0
S-0778,471,gentle,clay,wetland,volcanic,moderate,0
S-0779,676,flat,organic,grassland,metamorphic,poor,0
S-0780,147,moderate,loam,bare,volcanic,good,1
S-0781,165,gentle,loam,bare,intrusive,moderate,0
S-0782,341,gentle,sand,grassland,intrusive,excessive,1
S-0783,808,flat,clay,shrub,volcanic,excessive,0
S-0784,505,moderate,sand,shrub,intrusive,moderate,0
S-0785,383,gentle,organic,shrub,sedimentary,moderate,0
S-0786,546,flat,loam,shrub,intrusive,excessive,1
S-0787,432,gentle,sand,shrub,intrusive,good,0
S-0788,111,moderate,organic,forest,volcanic,excessive,0
S-0789,828,moderate,rocky,grassland,volcanic,moderate,0
S-0790,224,gentle,rocky,bare,sedimentary,excessive,0
S-0791,271,steep,clay,grassland,intrusive,excessive,1
S-0792,643,gentle,clay,wetland,volcanic,excessive,0
S-0793,91,steep,rocky,bare,sedimentary,excessive,1
S-0794,513,steep,rocky,forest,volcanic,poor,0
S-0795,466,gentle,sand,grassland,volcanic,moderate,0
S-0796,362,gentle,rocky,wetland,intrusive,poor,0
S-0797,524,gentle,sand,shrub,intrusive,excessive,0
S-0798,444,moderate,organic,grassland,sedimentary,good,1
S-0799,677,gentle,sand,wetland,sedimentary,poor,0
S-0800,102,flat,organic,grassland,intrusive,poor,0
S-0801,229,flat,sand,shrub,volcanic,moderate,0
S-0802,820,gentle,sand,grassland,volcanic,good,0
S-0803,483,moderate,sand,forest,sedimentary,good,0
S-0804,531,moderate,sand,wetland,intrusive,poor,1
S-0805,518,flat,loam,bare,sedimentary,good,1
S-0806,164,gentle,loam,shrub,intrusive,poor,0
S-0807,748,gentle,organic,grassland,intrusive,excessive,1
S-0808,72,gentle,rocky,bare,metamorphic,good,0
S-0809,855,moderate,rocky,wetland,intrusive,excessive,0
S-0810,363,gentle,organic,shrub,metamorphic,good,0
S-0811,838,flat,sand,grassland,volcanic,excessive,1
S-0812,598,moderate,loam,shrub,volcanic,moderate,1
S-0813,92,moderate,sand,bare,volcanic,good,1
S-0814,374,moderate,organic,grassland,volcanic,moderate,0
S-0815,174,flat,loam,bare,intrusive,excessive,0
S-0816,609,moderate,sand,bare,metamorphic,moderate,0
S-0817,796,steep,organic,forest,metamorphic,poor,1
S-0818,461,gentle,clay,grassland,intrusive,good,1
S-0819,706,gentle,loam,grassland,volcanic,poor,0
S-0820,139,steep,sand,bare,volcanic,poor,0
S-0821,419,steep,sand,bare,volcanic,excessive,1
S-0822,506,flat,organic,bare,volcanic,excessive,1
S-0823,875,steep,rocky,shrub,intrusive,poor,0
S-0824,587,moderate,organic,wetland,sedimentary,poor,1
S-0825,704,moderate,rocky,shrub,intrusive,excessive,1
S-0826,240,steep,organic,wetland,metamorphic,poor,0
S-0827,359,moderate,organic,wetland,intrusive,moderate,1
S-0828,705,steep,organic,grassland,sedimentary,moderate,1
S-0829,754,gentle,sand,forest,sedimentary,excessive,0
S-0830,645,steep,organic,grassland,intrusive,poor,1
S-0831,800,flat,rocky,shrub,metamorphic,poor,0
S-0832,415,gentle,sand,grassland,sedimentary,excessive,0
S-0833,414,flat,rocky,grassland,metamorphic,poor,1
S-0834,146,gentle,sand,grassland,metamorphic,good,0
S-0835,754,moderate,rocky,wetland,sedimentary,good,1
S-0836,431,steep,loam,grassland,intrusive,poor,1
S-0837,565,gentle,rocky,wetland,volcanic,poor,1
S-0838,184,flat,sand,grassland,intrusive,good,1
S-0839,502,moderate,clay,grassland,volcanic,poor,1
S-0840,282,moderate,loam,shrub,volcanic,poor,1
S-0841,831,flat,organic,forest,sedimentary,excessive,0
S-0842,575,flat,sand,forest,intrusive,poor,1
S-0843,733,flat,rocky,forest,sedimentary,moderate,0
S-0844,79,flat,rocky,grassland,volcanic,good,0
S-0845,562,gentle,rocky,forest,sedimentary,poor,0
S-0846,225,flat,rocky,shrub,sedimentary,excessive,1
S-0847,653,gentle,loam,forest,intrusive,good,0
S-0848,467,flat,organic,forest,metamorphic,poor,0
S-0849,557,moderate,clay,wetland,metamorphic,poor,1
S-0850,664,moderate,rocky,shrub,intrusive,excessive,1
S-0851,488,gentle,sand,bare,sedimentary,moderate,0
S-0852,455,steep,loam,forest,sedimentary,excessive,1
S-0853,654,flat,sand,forest,volcanic,moderate,0
S-0854,175,gentle,sand,bare,intrusive,good,0
S-0855,870,steep,rocky,bare,metamorphic,excessive,1
S-0856,515,flat,organic,grassland,sedimentary,excessive,1
S-0857,187,flat,clay,forest,sedimentary,excessive,0
S-0858,745,moderate,rocky,grassland,volcanic,poor,0
S-0859,726,steep,sand,shrub,intrusive,excessive,1
S-0860,603,flat,clay,bare,sedimentary,excessive,1
S-0861,435,steep,clay,forest,intrusive,moderate,1
S-0862,773,gentle,loam,bare,intrusive,good,0
S-0863,549,flat,rocky,wetland,intrusive,excessive,0
S-0864,450,moderate,organic,wetland,intrusive,good,0
S-0865,341,moderate,rocky,forest,sedimentary,poor,0
S-0866,647,flat,clay,bare,metamorphic,excessive,1
S-0867,415,steep,loam,forest,metamorphic,moderate,1
S-0868,754,flat,sand,forest,metamorphic,moderate,1
S-0869,383,flat,rocky,bare,intrusive,excessive,0
S-0870,374,steep,rocky,grassland,intrusive,poor,0
S-0871,152,gentle,rocky,bare,metamorphic,good,0
S-0872,256,steep,loam,wetland,sedimentary,good,1
S-0873,354,steep,clay,wetland,volcanic,poor,0
S-0874,593,steep,sand,shrub,intrusive,poor,0
S-0875,359,moderate,sand,wetland,intrusive,moderate,0
S-0876,737,gentle,loam,wetland,sedimentary,excessive,1
S-0877,893,steep,rocky,wetland,metamorphic,excessive,1
S-0878,255,moderate,loam,shrub,intrusive,moderate,0
S-0879,833,moderate,sand,bare,intrusive,poor,1
S-0880,343,gentle,loam,wetland,metamorphic,excessive,0
S-0881,203,gentle,sand,shrub,sedimentary,excessive,0
S-0882,87,gentle,loam,grassland,volcanic,poor,1
S-0883,872,moderate,organic,forest,volcanic,poor,1
S-0884,355,flat,clay,grassland,intrusive,excessive,0
S-0885,791,gentle,rocky,forest,volcanic,poor,0
S-0886,587,moderate,loam,forest,intrusive,poor,0
S-0887,370,moderate,organic,shrub,intrusive,moderate,0
S-0888,500,steep,clay,wetland,metamorphic,excessive,1
S-0889,766,flat,organic,wetland,metamorphic,excessive,0
S-0890,198,moderate,sand,grassland,intrusive,poor,0
S-0891,670,flat,sand,shrub,sedimentary,excessive,0
S-0892,881,flat,organic,bare,volcanic,poor,0
S-0893,452,moderate,loam,forest,metamorphic,good,0
S-0894,696,moderate,sand,forest,intrusive,poor,0
S-0895,553,steep,organic,grassland,intrusive,poor,1
S-0896,410,steep,clay,bare,metamorphic,poor,1
S-0897,238,steep,organic,forest,volcanic,moderate,1
S-0898,211,gentle,organic,wetland,volcanic,good,0
S-0899,802,gentle,rocky,shrub,metamorphic,good,0
S-0900,236,steep,loam,wetland,intrusive,poor,0
S-0901,621,gentle,loam,bare,sedimentary,good,1
S-0902,489,moderate,sand,forest,volcanic,moderate,0
S-0903,170,flat,organic,bare,intrusive,poor,0
S-0904,882,moderate,organic,bare,metamorphic,moderate,1
S-0905,261,gentle,organic,shrub,metamorphic,moderate,1
S-0906,318,gentle,sand,shrub,intrusive,excessive,1
S-0907,530,gentle,loam,bare,metamorphic,excessive,1
S-0908,147,flat,loam,grassland,sedimentary,excessive,0
S-0909,670,flat,rocky,grassland,sedimentary,excessive,1
S-0910,622,flat,loam,grassland,volcanic,excessive,0
S-0911,529,gentle,rocky,grassland,sedimentary,excessive,1
S-0912,180,steep,organic,grassland,metamorphic,good,0
S-0913,319,moderate,loam,bare,metamorphic,good,0
S-0914,619,steep,loam,shrub,sedimentary,poor,1
S-0915,86,steep,organic,shrub,metamorphic,excessive,1
S-0916,502,moderate,organic,bare,intrusive,poor,0
S-0917,201,flat,loam,forest,metamorphic,good,0
S-0918,329,gentle,rocky,wetland,sedimentary,moderate,0
S-0919,128,gentle,sand,forest,intrusive,poor,1
S-0920,432,flat,clay,shrub,metamorphic,poor,0
S-0921,774,steep,rocky,grassland,intrusive,poor,0
S-0922,513,moderate,clay,shrub,volcanic,good,1
S-0923,106,flat,organic,forest,intrusive,good,0
S-0924,141,flat,organic,shrub,volcanic,excessive,1
S-0925,820,gentle,organic,grassland,sedimentary,excessive,0
S-0926,667,gentle,sand,forest,metamorphic,moderate,0
S-0927,447,steep,rocky,wetland,metamorphic,excessive,1
S-0928,240,steep,clay,forest,intrusive,good,0
S-0929,742,gentle,rocky,bare,volcanic,poor,0
S-0930,539,moderate,sand,shrub,volcanic,moderate,0
S-0931,352,flat,rocky,forest,sedimentary,poor,0
S-0932,787,moderate,rocky,grassland,metamorphic,poor,0
S-0933,66,flat,loam,shrub,intrusive,excessive,0
S-0934,371,steep,sand,wetland,intrusive,good,0
S-0935,879,gentle,clay,shrub,volcanic,good,0
S-0936,55,steep,loam,forest,sedimentary,excessive,1
S-0937,464,steep,rocky,wetland,metamorphic,good,0
S-0938,873,moderate,loam,shrub,sedimentary,poor,1
S-0939,885,flat,loam,forest,volcanic,excessive,0
S-0940,691,gentle,organic,grassland,sedimentary,moderate,0
S-0941,72,flat,organic,shrub,volcanic,excessive,0
S-0942,256,moderate,sand,forest,intrusive,poor,1
S-0943,780,steep,rocky,bare,intrusive,good,1
S-0944,792,steep,rocky,forest,volcanic,poor,1
S-0945,373,flat,organic,bare,metamorphic,poor,0
S-0946,764,steep,sand,shrub,sedimentary,moderate,1
S-0947,498,gentle,sand,wetland,volcanic,excessive,0
S-0948,476,moderate,rocky,shrub,intrusive,moderate,1
S-0949,817,flat,loam,shrub,intrusive,moderate,0
S-0950,555,moderate,rocky,shrub,volcanic,poor,0
S-0951,417,moderate,loam,shrub,metamorphic,poor,1
S-0952,282,flat,sand,bare,volcanic,good,0
S-0953,837,flat,rocky,shrub,metamorphic,poor,0
S-0954,518,flat,rocky,wetland,sedimentary,poor,0
S-0955,92,flat,loam,forest,volcanic,good,0
S-0956,568,steep,sand,shrub,sedimentary,good,1
S-0957,175,gentle,clay,bare,intrusive,moderate,1
S-0958,225,flat,organic,grassland,metamorphic,good,0
S-0959,301,gentle,loam,shrub,intrusive,excessive,0
S-0960,578,moderate,loam,bare,sedimentary,poor,1
S-0961,579,flat,sand,grassland,sedimentary,excessive,1
S-0962,827,flat,clay,wetland,volcanic,good,0
S-0963,747,moderate,clay,grassland,metamorphic,good,1
S-0964,463,steep,rocky,wetland,volcanic,excessive,0
S-0965,881,steep,clay,grassland,volcanic,poor,0
S-0966,179,moderate,rocky,forest,volcanic,good,0
S-0967,825,gentle,rocky,forest,sedimentary,good,0
S-0968,567,flat,sand,grassland,sedimentary,good,1
S-0969,824,flat,rocky,grassland,intrusive,poor,0
S-0970,645,gentle,sand,grassland,metamorphic,moderate,0
S-0971,582,gentle,rocky,grassland,sedimentary,moderate,1
S-0972,778,steep,clay,forest,intrusive,poor,0
S-0973,183,steep,clay,bare,volcanic,good,1
S-0974,847,steep,organic,wetland,metamorphic,excessive,0
S-0975,755,steep,loam,shrub,intrusive,moderate,0
S-0976,575,flat,organic,bare,volcanic,poor,0
S-0977,622,moderate,organic,wetland,sedimentary,poor,1
S-0978,206,flat,sand,grassland,metamorphic,good,1
S-0979,78,gentle,organic,wetland,volcanic,poor,0
S-0980,237,steep,rocky,forest,sedimentary,good,1
S-0981,95,steep,sand,wetland,intrusive,excessive,1
S-0982,787,gentle,organic,wetland,volcanic,excessive,0
S-0983,202,moderate,rocky,wetland,sedimentary,excessive,1
S-0984,96,steep,loam,forest,metamorphic,poor,1
S-0985,865,moderate,clay,wetland,sedimentary,moderate,0
S-0986,633,gentle,clay,wetland,intrusive,poor,0
S-0987,594,gentle,loam,grassland,sedimentary,moderate,0
S-0988,136,moderate,clay,wetland,intrusive,excessive,0
S-0989,73,moderate,organic,shrub,intrusive,poor,1
S-0990,167,flat,loam,grassland,volcanic,moderate,1
S-0991,141,gentle,loam,bare,metamorphic,poor,1
S-0992,109,moderate,sand,forest,intrusive,moderate,0
S-0993,381,moderate,clay,forest,intrusive,moderate,1
